0,11;0,0;9,11;8,11;7,11;6,11;5,11;4,11;8,10;7,10;6,10;5,10;4,10;7,9;6,9;5,9;4,9
1365372;1185600;1339348;1318452;1296744;1285520;1278988;1285692;1276524;1254912;1239284;1230020;1232120;1214056;1192420;1180036;1178932
1365180;1185544;1337852;1317644;1298160;1285784;1277672;1285548;1276796;1255064;1239272;1230248;1232232;1214696;1192384;1180160;1178620
1365352;1185584;1338164;1317368;1297488;1285528;1277712;1285684;1276632;1254968;1239176;1230040;1231988;1213356;1192420;1180172;1178868
1365168;1185500;1338356;1316996;1297644;1285792;1278332;1285480;1276632;1254848;1239344;1230276;1232096;1214276;1192372;1180108;1178540
1365188;1185544;1338164;1318044;1297360;1285536;1279248;1285656;1276704;1255032;1239152;1230160;1231912;1214160;1192420;1180216;1178648
1364876;1185448;1338252;1318052;1296816;1285704;1278716;1285328;1276504;1254904;1239256;1230232;1232080;1214312;1192348;1180096;1178572
1365260;1185460;1338108;1317256;1298012;1285596;1279216;1285484;1276612;1255016;1239072;1229972;1231788;1214236;1192404;1180200;1178560
1365260;1185424;1338244;1317024;1298160;1285820;1279448;1285248;1276708;1254776;1239160;1230168;1231980;1214104;1192344;1180060;1178508
1365368;1185432;1338112;1317856;1297120;1285516;1280624;1285432;1276560;1254896;1239048;1230008;1231744;1214380;1192408;1180004;1178504
1364928;1185356;1338280;1318060;1296872;1285788;1280268;1285168;1276752;1254888;1239144;1230116;1231804;1213956;1192332;1180308;1178348
1365256;1185356;1338124;1317408;1297976;1285604;1280720;1285312;1276556;1254892;1238976;1230016;1231736;1214464;1192384;1179812;1178360
1364984;1185292;1338244;1316924;1297492;1285760;1280428;1285052;1276508;1254856;1239100;1230132;1231752;1214004;1192312;1180284;1178436
1365228;1185328;1338080;1317508;1297204;1285400;1280744;1285208;1276564;1254880;1238888;1229880;1231704;1214000;1192364;1179924;1178448
1365020;1185236;1338220;1317528;1297616;1285664;1280416;1284992;1276528;1254840;1238964;1230080;1231756;1214092;1192316;1180184;1178316
1365204;1185296;1338072;1317468;1297592;1284812;1280716;1285144;1276560;1254868;1238844;1229896;1231632;1214092;1192360;1179924;1178504
1364980;1185196;1338184;1317408;1297292;1285536;1280332;1284952;1276580;1254836;1238892;1230116;1231720;1214160;1192308;1180120;1178368
1365244;1185212;1338120;1317508;1297472;1285540;1280632;1285124;1276512;1254908;1238804;1229800;1231564;1213916;1192360;1179940;1178484
1364972;1185120;1338180;1317420;1297420;1285564;1280228;1284868;1276636;1254780;1238904;1230032;1231660;1214064;1192292;1180052;1178348
1365148;1185168;1338084;1317496;1297436;1285496;1280548;1285084;1276492;1254848;1238860;1229720;1231476;1214160;1192312;1179936;1178412
1364936;1185088;1338188;1317452;1297308;1285484;1280180;1284760;1276528;1254776;1238904;1229880;1231660;1213968;1192264;1180080;1178344
1365116;1185096;1338096;1317484;1297452;1285228;1280604;1285044;1276520;1254856;1238804;1229532;1231404;1214160;1192332;1179932;1178372
1364960;1184980;1338184;1317408;1297328;1285488;1280264;1284796;1276512;1254780;1238892;1229568;1231584;1213900;1192260;1180060;1178336
1365096;1185072;1338100;1317472;1297448;1285388;1280544;1285024;1276504;1254804;1238688;1229528;1231424;1214156;1192312;1179924;1178348
1364828;1184952;1338196;1317392;1297300;1285604;1280184;1284748;1276536;1254760;1238932;1229708;1231544;1214000;1192252;1180048;1178308
1365044;1185044;1338076;1317468;1297436;1285220;1280500;1284960;1276464;1254840;1238784;1229524;1231380;1213848;1192336;1179864;1178348
1364880;1184904;1338184;1317380;1297312;1285656;1280144;1284720;1276516;1254752;1238876;1229664;1231444;1213956;1192236;1180016;1178344
1365012;1184992;1338072;1317432;1297428;1285272;1280544;1284884;1276460;1254812;1238708;1229560;1231264;1213952;1192288;1179876;1178388
1364976;1184864;1338192;1317364;1297252;1285624;1280104;1284652;1276476;1254728;1238992;1229708;1231404;1213932;1192204;1179972;1178284
1365008;1184932;1338072;1317420;1297436;1285316;1280516;1284832;1276472;1254792;1238696;1229504;1231236;1214020;1192272;1179808;1178376
1364880;1184836;1338208;1317336;1297284;1285580;1280200;1284556;1276500;1254728;1238728;1229732;1231380;1213864;1192228;1179848;1178276
1364924;1184924;1338096;1317336;1297440;1285200;1280472;1284772;1276420;1254732;1238864;1229500;1231180;1213900;1192264;1179844;1178376
1364836;1184760;1338184;1317308;1297252;1285464;1279992;1284408;1276472;1254712;1238964;1229724;1231352;1213864;1192216;1179992;1178264
1364920;1184848;1338048;1317400;1297444;1284968;1280452;1284692;1276436;1254772;1238724;1229508;1231192;1213900;1192252;1179812;1178328
1364508;1184716;1338180;1317304;1297268;1285348;1280096;1284408;1276420;1254692;1238756;1229696;1231320;1213852;1192224;1180004;1178260
1364888;1184804;1338016;1317384;1297396;1284024;1280404;1284624;1276408;1254740;1238864;1229480;1231148;1213864;1192252;1179796;1178316
1364712;1184732;1338184;1317272;1297248;1285388;1279948;1284388;1276448;1254680;1238864;1229692;1231240;1213852;1192200;1179948;1178256
1364820;1184780;1338036;1317344;1297384;1284956;1280328;1284572;1276384;1254752;1238708;1229500;1231096;1213904;1192232;1179800;1178292
1364532;1184656;1338132;1317272;1297236;1285276;1279904;1284292;1276424;1254660;1238772;1229676;1231212;1213808;1192176;1179920;1178244
1364792;1184756;1338036;1317316;1297404;1285060;1280276;1284500;1276368;1254720;1238792;1229560;1230976;1213740;1192256;1179836;1178288
1364568;1184612;1338188;1317228;1297236;1285300;1279832;1284184;1276392;1254648;1238852;1229672;1231124;1213832;1192164;1179872;1178204
